id,Zone,Items,Status,Payment,Total_Price
2831,Baily Road / Khilgaon,1 items,DELIVERED,CASH,288Tk
2832,Dhanmondi,1 items,DELIVERED,CASH,97Tk
2833,Dhanmondi,1 items,DELIVERED,CASH,217Tk
2834,Gulshan/Banani,1 items,DELIVERED,CASH,120Tk
2835,Mohammadpur,1 items,DELIVERED,CASH,126Tk
2836,Gulshan/Banani,1 items,DELIVERED,CASH,219Tk
2837,Mohammadpur,1 items,DELIVERED,CASH,448Tk
2838,Dhanmondi,1 items,DELIVERED,CASH,200Tk
2839,Baily Road / Khilgaon,1 items,DELIVERED,CASH,220Tk
2840,Dhanmondi,1 items,DELIVERED,CASH,100Tk
2841,Uttara,1 items,DELIVERED,CASH,88Tk
2842,Gulshan/Banani,1 items,DELIVERED,CASH,600Tk
2843,Baily Road / Khilgaon,1 items,DELIVERED,CASH,50Tk
2844,Gulshan/Banani,1 items,DELIVERED,CASH,58Tk
2845,Uttara,1 items,DELIVERED,CASH,249Tk
2846,Baily Road / Khilgaon,1 items,DELIVERED,CASH,195Tk
2847,Chattogram,2 items,DELIVERED,CASH,368Tk
2848,Gulshan/Banani,1 items,DELIVERED,CASH,78Tk
2849,Dhanmondi,2 items,DELIVERED,CASH,410Tk
2850,Dhanmondi,1 items,DELIVERED,CARD,120Tk
2851,Mirpur,1 items,DELIVERED,CASH,416Tk
2852,Gulshan/Banani,1 items,DELIVERED,CASH,90Tk
2853,Mohammadpur,1 items,DELIVERED,CASH,126Tk
2854,Mirpur,2 items,DELIVERED,CASH,266Tk
2855,Gulshan/Banani,1 items,DELIVERED,CASH,63Tk
2856,Dhanmondi,1 items,DELIVERED,CASH,200Tk
2857,Gulshan/Banani,1 items,DELIVERED,CASH,63Tk
2858,Dhanmondi,1 items,DELIVERED,CASH,495Tk
2859,Baily Road / Khilgaon,3 items,DELIVERED,CASH,295Tk
2860,Dhanmondi,1 items,DELIVERED,CASH,369Tk
2861,Chattogram,1 items,DELIVERED,CASH,130Tk
2862,Gulshan/Banani,1 items,DELIVERED,CASH,60Tk
2863,Dhanmondi,1 items,DELIVERED,CASH,104Tk
2864,Mohammadpur,3 items,DELIVERED,CASH,470Tk
2865,Baily Road / Khilgaon,1 items,DELIVERED,CASH,167Tk
2866,Dhanmondi,1 items,DELIVERED,CASH,273Tk
2867,Gulshan/Banani,1 items,DELIVERED,CASH,749Tk
2868,Gulshan/Banani,1 items,DELIVERED,CASH,104Tk
2869,Bashundhara,1 items,DELIVERED,CASH,78Tk
2870,Chattogram,1 items,DELIVERED,CASH,36Tk
2871,Baily Road / Khilgaon,1 items,DELIVERED,CASH,60Tk
2872,Baily Road / Khilgaon,2 items,DELIVERED,CASH,168Tk
2873,Mohammadpur,2 items,DELIVERED,CASH,462Tk
2874,Mohammadpur,1 items,DELIVERED,CASH,130Tk
2875,Baily Road / Khilgaon,1 items,DELIVERED,CASH,360Tk
2876,Bashundhara,1 items,DELIVERED,CASH,130Tk
2877,Uttara,5 items,DELIVERED,CASH,1120Tk
2878,Uttara,1 items,DELIVERED,CASH,285Tk
2879,Bashundhara,1 items,DELIVERED,CASH,230Tk
2880,Baily Road / Khilgaon,1 items,DELIVERED,CASH,134Tk
2881,Mohammadpur,1 items,DELIVERED,CASH,130Tk
2882,Gulshan/Banani,1 items,DELIVERED,CASH,100Tk
2883,Uttara,2 items,DELIVERED,CASH,430Tk
2884,Uttara,2 items,DELIVERED,CASH,284Tk
2885,Gulshan/Banani,1 items,DELIVERED,CASH,45Tk
2886,Gulshan/Banani,1 items,DELIVERED,CASH,169Tk
2887,Baily Road / Khilgaon,2 items,DELIVERED,CASH,880Tk
2888,Dhanmondi,1 items,DELIVERED,CASH,100Tk
2889,Dhanmondi,1 items,DELIVERED,CASH,160Tk
2890,Dhanmondi,3 items,DELIVERED,CASH,375Tk
2891,Baily Road / Khilgaon,1 items,DELIVERED,CASH,119Tk
2892,Dhanmondi,1 items,DELIVERED,CASH,69Tk
2893,Dhanmondi,1 items,DELIVERED,CASH,552Tk
2894,Uttara,2 items,DELIVERED,CASH,172Tk
2895,Uttara,1 items,DELIVERED,CASH,129Tk
2896,Gulshan/Banani,1 items,DELIVERED,CASH,45Tk
2897,Gulshan/Banani,2 items,DELIVERED,CASH,94Tk
2898,Mohammadpur,1 items,DELIVERED,CASH,97Tk
2899,Baily Road / Khilgaon,1 items,DELIVERED,CARD,200Tk
2900,Dhanmondi,4 items,DELIVERED,CASH,334Tk
2901,Mirpur,2 items,DELIVERED,CASH,332Tk
2902,Mirpur,1 items,DELIVERED,CASH,392Tk
2903,Bashundhara,1 items,DELIVERED,CASH,100Tk
2904,Dhanmondi,1 items,DELIVERED,CASH,200Tk
2905,Mohammadpur,1 items,DELIVERED,CASH,100Tk
2906,Dhanmondi,1 items,DELIVERED,CASH,144Tk
2907,Mohammadpur,4 items,DELIVERED,CASH,472Tk
2908,Uttara,1 items,DELIVERED,CASH,162Tk
2909,Bashundhara,3 items,DELIVERED,CASH,234Tk
2910,Baily Road / Khilgaon,2 items,DELIVERED,CASH,340Tk
2911,Chattogram,2 items,DELIVERED,CASH,312Tk
2912,Dhanmondi,1 items,DELIVERED,CASH,60Tk
2913,Dhanmondi,1 items,DELIVERED,CASH,400Tk
2914,Mohammadpur,1 items,DELIVERED,CASH,100Tk
2915,Baily Road / Khilgaon,1 items,DELIVERED,CASH,234Tk
2916,Dhanmondi,1 items,DELIVERED,CASH,60Tk
2917,Uttara,1 items,DELIVERED,CASH,198Tk
2918,Gulshan/Banani,1 items,DELIVERED,CASH,345Tk
2919,Gulshan/Banani,1 items,DELIVERED,CASH,91Tk
2920,Gulshan/Banani,1 items,DELIVERED,CASH,90Tk
2921,Baily Road / Khilgaon,2 items,DELIVERED,CASH,340Tk
2922,Gulshan/Banani,1 items,DELIVERED,CASH,70Tk
2923,Baily Road / Khilgaon,1 items,DELIVERED,CASH,204Tk
2924,Gulshan/Banani,1 items,DELIVERED,CASH,225Tk
2925,Dhanmondi,1 items,DELIVERED,CASH,324Tk
2926,Dhanmondi,1 items,DELIVERED,CASH,160Tk
2927,Gulshan/Banani,1 items,DELIVERED,CASH,780Tk
2928,Dhanmondi,1 items,DELIVERED,CASH,217Tk
2929,Gulshan/Banani,1 items,DELIVERED,CASH,78Tk
2930,Baily Road / Khilgaon,2 items,DELIVERED,CASH,250Tk
2931,Mirpur,2 items,DELIVERED,CASH,349Tk
2932,Chattogram,1 items,DELIVERED,CASH,75Tk
2933,Gulshan/Banani,1 items,DELIVERED,CASH,280Tk
2934,Chattogram,1 items,DELIVERED,CASH,160Tk
2935,Baily Road / Khilgaon,1 items,DELIVERED,CASH,210Tk
2936,Mohammadpur,1 items,DELIVERED,CASH,97Tk
2937,Baily Road / Khilgaon,2 items,DELIVERED,CASH,200Tk
2938,Chattogram,1 items,DELIVERED,CASH,351Tk
2939,Baily Road / Khilgaon,1 items,DELIVERED,CASH,60Tk
2940,Gulshan/Banani,1 items,DELIVERED,CASH,90Tk
2941,Dhanmondi,1 items,DELIVERED,CASH,200Tk
2942,Gulshan/Banani,1 items,DELIVERED,CASH,448Tk
2943,Mohammadpur,1 items,DELIVERED,CASH,312Tk
2944,Gulshan/Banani,1 items,DELIVERED,CASH,880Tk
2945,Mohammadpur,3 items,DELIVERED,CASH,559Tk
2946,Dhanmondi,1 items,DELIVERED,CASH,65Tk
2947,Mohammadpur,2 items,DELIVERED,CASH,250Tk
2948,Gulshan/Banani,1 items,DELIVERED,CASH,220Tk
2949,Bashundhara,1 items,DELIVERED,CASH,105Tk
2950,Gulshan/Banani,1 items,DELIVERED,CASH,78Tk
2951,Dhanmondi,5 items,DELIVERED,CASH,651Tk
2952,Uttara,1 items,DELIVERED,CASH,249Tk
2953,Dhanmondi,1 items,DELIVERED,CASH,105Tk
2954,Baily Road / Khilgaon,1 items,DELIVERED,CASH,160Tk
2955,Uttara,1 items,DELIVERED,CASH,270Tk
2956,Mirpur,1 items,DELIVERED,CASH,200Tk
2957,Gulshan/Banani,1 items,DELIVERED,CASH,63Tk
2958,Gulshan/Banani,1 items,DELIVERED,CASH,70Tk
2959,Dhanmondi,1 items,DELIVERED,CASH,114Tk
2960,Gulshan/Banani,1 items,DELIVERED,CASH,58Tk
2961,Gulshan/Banani,1 items,DELIVERED,CASH,391Tk
2962,Dhanmondi,1 items,DELIVERED,CASH,1140Tk
2963,Baily Road / Khilgaon,1 items,DELIVERED,CASH,360Tk
2964,Mirpur,2 items,DELIVERED,CASH,130Tk
2965,Mohammadpur,1 items,DELIVERED,CASH,100Tk
2966,Mohammadpur,1 items,DELIVERED,CASH,150Tk
2967,Dhanmondi,1 items,DELIVERED,CASH,259Tk
2968,Dhanmondi,2 items,DELIVERED,CASH,165Tk
2969,Bashundhara,1 items,DELIVERED,CASH,75Tk
2970,Dhanmondi,1 items,DELIVERED,CASH,69Tk
2971,Dhanmondi,3 items,DELIVERED,CASH,483Tk
2972,Chattogram,1 items,DELIVERED,CASH,71Tk
2973,Mirpur,2 items,DELIVERED,CASH,105Tk
2974,Gulshan/Banani,1 items,DELIVERED,CASH,91Tk
2975,Wari,1 items,DELIVERED,CASH,225Tk
2976,Gulshan/Banani,1 items,DELIVERED,CASH,617Tk
2977,Baily Road / Khilgaon,2 items,DELIVERED,CASH,240Tk
2978,Gulshan/Banani,1 items,DELIVERED,CASH,126Tk
2979,Gulshan/Banani,2 items,DELIVERED,CASH,119Tk
2980,Gulshan/Banani,1 items,DELIVERED,CASH,167Tk
2981,Mirpur,1 items,DELIVERED,CASH,195Tk
2982,Dhanmondi,2 items,DELIVERED,CASH,290Tk
2983,Mirpur,1 items,DELIVERED,CASH,170Tk
2984,Baily Road / Khilgaon,1 items,DELIVERED,CASH,98Tk
2985,Dhanmondi,1 items,DELIVERED,CASH,629Tk
2986,Dhanmondi,2 items,DELIVERED,CASH,371Tk
2987,Mohammadpur,1 items,DELIVERED,CASH,100Tk
2988,Baily Road / Khilgaon,1 items,DELIVERED,CASH,112Tk
2989,Baily Road / Khilgaon,1 items,DELIVERED,CASH,136Tk
2990,Gulshan/Banani,1 items,DELIVERED,CASH,259Tk
2991,Mohammadpur,1 items,DELIVERED,CASH,110Tk
2992,Gulshan/Banani,1 items,DELIVERED,CASH,117Tk
2993,Gulshan/Banani,1 items,DELIVERED,CASH,322Tk
2994,Mirpur,1 items,DELIVERED,CASH,130Tk
2995,Uttara,1 items,DELIVERED,CASH,540Tk
2996,Gulshan/Banani,1 items,DELIVERED,CASH,195Tk
2997,Dhanmondi,1 items,DELIVERED,CASH,561Tk
2998,Baily Road / Khilgaon,1 items,DELIVERED,CASH,402Tk
2999,Gulshan/Banani,1 items,DELIVERED,CASH,110Tk
3000,Dhanmondi,1 items,DELIVERED,CASH,200Tk
3001,Dhanmondi,1 items,DELIVERED,CASH,100Tk
3002,Dhanmondi,1 items,DELIVERED,CASH,92Tk
3003,Gulshan/Banani,1 items,DELIVERED,CASH,58Tk
3004,Gulshan/Banani,1 items,DELIVERED,CASH,213Tk
3005,Mohammadpur,2 items,DELIVERED,CASH,200Tk
3006,Baily Road / Khilgaon,1 items,DELIVERED,CASH,150Tk
3007,Gulshan/Banani,1 items,DELIVERED,CASH,71Tk
3008,Wari,1 items,DELIVERED,CASH,200Tk
3009,Baily Road / Khilgaon,1 items,DELIVERED,CASH,754Tk
3010,Dhanmondi,1 items,DELIVERED,CASH,675Tk
3011,Uttara,1 items,DELIVERED,CASH,104Tk
3012,Dhanmondi,1 items,DELIVERED,CASH,259Tk
3013,Bashundhara,1 items,DELIVERED,CASH,312Tk
3014,Gulshan/Banani,1 items,DELIVERED,CASH,58Tk
3015,Mirpur,1 items,DELIVERED,CASH,160Tk
3016,Mirpur,1 items,DELIVERED,CASH,143Tk
3017,Uttara,1 items,DELIVERED,CASH,265Tk
3018,Mohammadpur,1 items,DELIVERED,CASH,97Tk
3019,Uttara,2 items,DELIVERED,CASH,325Tk
3020,Dhanmondi,1 items,DELIVERED,CASH,130Tk
3021,Dhanmondi,1 items,DELIVERED,CASH,200Tk
3022,Gulshan/Banani,1 items,DELIVERED,CASH,90Tk
3023,Gulshan/Banani,1 items,DELIVERED,CASH,65Tk
3024,Bashundhara,1 items,DELIVERED,CASH,649Tk
3025,Uttara,1 items,DELIVERED,CASH,60Tk
3026,Dhanmondi,1 items,DELIVERED,CASH,200Tk
3027,Gulshan/Banani,1 items,DELIVERED,CASH,311Tk
3028,Gulshan/Banani,1 items,DELIVERED,CASH,148Tk
3029,Mohammadpur,1 items,DELIVERED,CASH,80Tk
3030,Baily Road / Khilgaon,3 items,DELIVERED,CASH,609Tk
3031,Baily Road / Khilgaon,1 items,DELIVERED,CASH,107Tk
3032,Chattogram,2 items,DELIVERED,CASH,200Tk
3033,Baily Road / Khilgaon,1 items,DELIVERED,CASH,65Tk
3034,Wari,1 items,DELIVERED,CASH,374Tk
3035,Baily Road / Khilgaon,3 items,DELIVERED,CASH,800Tk
3036,Mohammadpur,1 items,DELIVERED,CASH,480Tk
3037,Dhanmondi,1 items,DELIVERED,CASH,640Tk
3038,Gulshan/Banani,2 items,DELIVERED,CASH,135Tk
3039,Gulshan/Banani,2 items,DELIVERED,CASH,140Tk
3040,Dhanmondi,2 items,DELIVERED,CASH,170Tk
3041,Mohammadpur,1 items,DELIVERED,CASH,160Tk
3042,Baily Road / Khilgaon,2 items,DELIVERED,CASH,307Tk
3043,Gulshan/Banani,1 items,DELIVERED,CASH,70Tk
3044,Dhanmondi,2 items,DELIVERED,CASH,260Tk
3045,Dhanmondi,2 items,DELIVERED,CASH,128Tk
3046,Mirpur,2 items,DELIVERED,CASH,530Tk
3047,Dhanmondi,3 items,DELIVERED,CASH,390Tk
3048,Mohammadpur,1 items,DELIVERED,CASH,322Tk
3049,Mirpur,1 items,DELIVERED,CASH,338Tk
3050,Bashundhara,1 items,DELIVERED,CASH,150Tk
3051,Gulshan/Banani,1 items,DELIVERED,CASH,77Tk
3052,Dhanmondi,1 items,DELIVERED,CASH,184Tk
3053,Dhanmondi,1 items,DELIVERED,CASH,1764Tk
3054,Gulshan/Banani,1 items,DELIVERED,CASH,100Tk
3055,Dhanmondi,1 items,DELIVERED,CASH,250Tk
3056,Gulshan/Banani,3 items,DELIVERED,CASH,200Tk
3057,Mirpur,1 items,DELIVERED,CASH,214Tk
3058,Gulshan/Banani,1 items,DELIVERED,CASH,165Tk
3059,Mirpur,2 items,DELIVERED,CASH,154Tk
3060,Dhanmondi,3 items,DELIVERED,CASH,572Tk
3061,Mohammadpur,1 items,DELIVERED,CASH,142Tk
3062,Gulshan/Banani,2 items,DELIVERED,CASH,80Tk
3063,Chattogram,1 items,DELIVERED,CASH,117Tk
3064,Mirpur,1 items,DELIVERED,CASH,154Tk
3065,Mirpur,1 items,DELIVERED,CASH,266Tk
3066,Chattogram,1 items,DELIVERED,CASH,176Tk
3067,Dhanmondi,1 items,DELIVERED,CASH,150Tk
3068,Baily Road / Khilgaon,1 items,DELIVERED,CASH,750Tk
3069,Bashundhara,2 items,DELIVERED,CASH,170Tk
3070,Mirpur,2 items,DELIVERED,CASH,325Tk
3071,Mirpur,1 items,DELIVERED,CASH,110Tk
3072,Mirpur,1 items,DELIVERED,CARD,130Tk
3073,Gulshan/Banani,2 items,DELIVERED,CARD,584Tk
3074,Baily Road / Khilgaon,1 items,DELIVERED,CASH,480Tk
3075,Gulshan/Banani,3 items,DELIVERED,CASH,280Tk
3076,Gulshan/Banani,1 items,DELIVERED,CASH,150Tk
3077,Baily Road / Khilgaon,1 items,DELIVERED,CASH,212Tk
3078,Wari,2 items,DELIVERED,CASH,476Tk
3079,Dhanmondi,2 items,DELIVERED,CASH,230Tk
3080,Gulshan/Banani,2 items,DELIVERED,CASH,648Tk
3081,Mirpur,1 items,DELIVERED,CASH,104Tk
3082,Chattogram,2 items,DELIVERED,CASH,840Tk
3083,Dhanmondi,2 items,DELIVERED,CASH,355Tk
3084,Gulshan/Banani,1 items,DELIVERED,CASH,459Tk
3085,Dhanmondi,1 items,DELIVERED,CASH,108Tk
3086,Dhanmondi,1 items,DELIVERED,CASH,200Tk
3087,Gulshan/Banani,1 items,DELIVERED,CASH,45Tk
3088,Gulshan/Banani,1 items,DELIVERED,CASH,299Tk
3089,Gulshan/Banani,1 items,DELIVERED,CASH,860Tk
3090,Mohammadpur,1 items,DELIVERED,CASH,245Tk
3091,Uttara,1 items,DELIVERED,CASH,230Tk
3092,Gulshan/Banani,2 items,DELIVERED,CASH,377Tk
3093,Baily Road / Khilgaon,1 items,DELIVERED,CASH,97Tk
3094,Mohammadpur,3 items,DELIVERED,CASH,825Tk
3095,Dhanmondi,4 items,DELIVERED,CASH,500Tk
3096,Dhanmondi,2 items,DELIVERED,CASH,124Tk
3097,Dhanmondi,1 items,DELIVERED,CASH,748Tk
3098,Chattogram,1 items,DELIVERED,CASH,162Tk
3099,Mohammadpur,1 items,DELIVERED,CASH,150Tk
3100,Gulshan/Banani,1 items,DELIVERED,CASH,58Tk
3101,Gulshan/Banani,2 items,DELIVERED,CASH,149Tk
3102,Dhanmondi,2 items,DELIVERED,CASH,60Tk
3103,Bashundhara,2 items,DELIVERED,CASH,210Tk
3104,Baily Road / Khilgaon,1 items,DELIVERED,CASH,117Tk
3105,Mirpur,4 items,DELIVERED,CASH,315Tk
3106,Gulshan/Banani,1 items,DELIVERED,CASH,120Tk
3107,Gulshan/Banani,1 items,DELIVERED,CASH,130Tk
3108,Gulshan/Banani,1 items,DELIVERED,CASH,180Tk
3109,Dhanmondi,9 items,DELIVERED,CASH,1220Tk
3110,Dhanmondi,2 items,DELIVERED,CASH,357Tk
3111,Mirpur,1 items,DELIVERED,CASH,140Tk
3112,Dhanmondi,1 items,DELIVERED,CASH,176Tk
3113,Chattogram,1 items,DELIVERED,CASH,117Tk
3114,Dhanmondi,1 items,DELIVERED,CASH,200Tk
3115,Gulshan/Banani,1 items,DELIVERED,CASH,45Tk
3116,Dhanmondi,3 items,DELIVERED,CASH,260Tk
3117,Dhanmondi,2 items,DELIVERED,CASH,214Tk
3118,Gulshan/Banani,1 items,DELIVERED,CASH,845Tk
3119,Gulshan/Banani,1 items,DELIVERED,CASH,758Tk
3120,Dhanmondi,1 items,DELIVERED,CASH,440Tk
3121,Dhanmondi,1 items,DELIVERED,CASH,253Tk
3122,Gulshan/Banani,1 items,DELIVERED,CASH,65Tk
3123,Dhanmondi,2 items,DELIVERED,CASH,840Tk
3124,Uttara,2 items,DELIVERED,CASH,130Tk
3125,Dhanmondi,1 items,DELIVERED,CASH,800Tk
3126,Baily Road / Khilgaon,1 items,DELIVERED,CASH,275Tk
3127,Gulshan/Banani,3 items,DELIVERED,CASH,219Tk
3128,Baily Road / Khilgaon,2 items,DELIVERED,CASH,280Tk
3129,Uttara,1 items,DELIVERED,CASH,525Tk
3130,Gulshan/Banani,1 items,DELIVERED,CASH,39Tk
3131,Dhanmondi,1 items,DELIVERED,CASH,250Tk
3132,Chattogram,1 items,DELIVERED,CASH,58Tk
3133,Gulshan/Banani,1 items,DELIVERED,CASH,120Tk
3134,Dhanmondi,1 items,DELIVERED,CASH,97Tk
3135,Uttara,1 items,DELIVERED,CASH,227Tk
3136,Gulshan/Banani,1 items,DELIVERED,CASH,90Tk
3137,Baily Road / Khilgaon,1 items,DELIVERED,CASH,97Tk
3138,Gulshan/Banani,6 items,DELIVERED,CASH,195Tk
3139,Baily Road / Khilgaon,1 items,DELIVERED,CASH,117Tk
3140,Dhanmondi,1 items,DELIVERED,CASH,294Tk
3141,Gulshan/Banani,1 items,DELIVERED,CASH,58Tk
3142,Mirpur,1 items,DELIVERED,CASH,180Tk
3143,Mohammadpur,1 items,DELIVERED,CASH,320Tk
3144,Dhanmondi,1 items,DELIVERED,CASH,91Tk
3145,Dhanmondi,1 items,DELIVERED,CASH,100Tk
3146,Gulshan/Banani,1 items,DELIVERED,CASH,180Tk
3147,Dhanmondi,1 items,DELIVERED,CASH,207Tk
3148,Dhanmondi,1 items,DELIVERED,CASH,60Tk
3149,Mohammadpur,1 items,DELIVERED,CASH,104Tk
3150,Baily Road / Khilgaon,1 items,DELIVERED,CASH,720Tk
3151,Gulshan/Banani,1 items,DELIVERED,CASH,49Tk
3152,Dhanmondi,2 items,DELIVERED,CASH,268Tk
3153,Dhanmondi,4 items,DELIVERED,CASH,110Tk
3154,Mohammadpur,1 items,DELIVERED,CASH,1200Tk
3155,Gulshan/Banani,2 items,DELIVERED,CASH,421Tk
3156,Uttara,1 items,DELIVERED,CASH,99Tk
3157,Dhanmondi,1 items,DELIVERED,CASH,160Tk
3158,Gulshan/Banani,1 items,DELIVERED,CASH,780Tk
3159,Baily Road / Khilgaon,1 items,DELIVERED,CASH,221Tk
3160,Dhanmondi,1 items,DELIVERED,CASH,1229Tk
3161,Mirpur,1 items,DELIVERED,CASH,64Tk
3162,Dhanmondi,1 items,DELIVERED,CASH,65Tk
3163,Mirpur,1 items,DELIVERED,CASH,130Tk
3164,Mirpur,1 items,DELIVERED,CASH,160Tk
3165,Dhanmondi,1 items,DELIVERED,CASH,347Tk
3166,Gulshan/Banani,2 items,DELIVERED,CASH,565Tk
3167,Dhanmondi,1 items,DELIVERED,CASH,200Tk
3168,Baily Road / Khilgaon,1 items,DELIVERED,CASH,160Tk
3169,Gulshan/Banani,3 items,DELIVERED,CASH,151Tk
3170,Gulshan/Banani,1 items,DELIVERED,CASH,214Tk
3171,Baily Road / Khilgaon,1 items,DELIVERED,CASH,90Tk
3172,Mohammadpur,1 items,DELIVERED,CASH,220Tk
3173,Baily Road / Khilgaon,5 items,DELIVERED,CARD,2189Tk
3174,Mohammadpur,1 items,DELIVERED,CASH,220Tk
3175,Chattogram,1 items,DELIVERED,CASH,200Tk
3176,Bashundhara,1 items,DELIVERED,CASH,130Tk
3177,Baily Road / Khilgaon,1 items,DELIVERED,CASH,50Tk
3178,Mohammadpur,4 items,DELIVERED,CASH,95Tk
3179,Baily Road / Khilgaon,1 items,DELIVERED,CASH,180Tk
3180,Mirpur,1 items,DELIVERED,CASH,123Tk
3181,Dhanmondi,6 items,DELIVERED,CASH,805Tk
3182,Dhanmondi,4 items,DELIVERED,CASH,487Tk
3183,Mirpur,1 items,DELIVERED,CASH,120Tk
3184,Dhanmondi,5 items,DELIVERED,CASH,243Tk
3185,Gulshan/Banani,1 items,DELIVERED,CASH,58Tk
3186,Gulshan/Banani,2 items,DELIVERED,CASH,380Tk
3187,Dhanmondi,1 items,DELIVERED,CASH,138Tk
3188,Dhanmondi,1 items,DELIVERED,CASH,1250Tk
3189,Wari,2 items,DELIVERED,CASH,244Tk
3190,Mohammadpur,1 items,DELIVERED,CASH,140Tk
3191,Mohammadpur,2 items,DELIVERED,CASH,230Tk
3192,Wari,1 items,DELIVERED,CASH,149Tk
3193,Gulshan/Banani,1 items,DELIVERED,CASH,90Tk
3194,Bashundhara,3 items,DELIVERED,CASH,170Tk
3195,Dhanmondi,3 items,DELIVERED,CASH,340Tk
3196,Chattogram,1 items,DELIVERED,CASH,400Tk
3197,Dhanmondi,1 items,DELIVERED,CASH,896Tk
3198,Bashundhara,1 items,DELIVERED,CASH,130Tk
3199,Bashundhara,1 items,DELIVERED,CASH,120Tk
3200,Gulshan/Banani,1 items,DELIVERED,CASH,342Tk
3201,Dhanmondi,1 items,DELIVERED,CASH,896Tk
3202,Mirpur,1 items,DELIVERED,CASH,149Tk
3203,Gulshan/Banani,3 items,DELIVERED,CASH,600Tk
3204,Dhanmondi,1 items,DELIVERED,CASH,130Tk
3205,Dhanmondi,1 items,DELIVERED,CASH,392Tk
3206,Gulshan/Banani,2 items,DELIVERED,CASH,522Tk
3207,Uttara,1 items,DELIVERED,CASH,170Tk
3208,Dhanmondi,1 items,DELIVERED,CASH,210Tk
3209,Uttara,1 items,DELIVERED,CASH,64Tk
3210,Dhanmondi,1 items,DELIVERED,CASH,414Tk
3211,Dhanmondi,1 items,DELIVERED,CASH,60Tk
3212,Gulshan/Banani,1 items,DELIVERED,CASH,157Tk
3213,Baily Road / Khilgaon,1 items,DELIVERED,CASH,740Tk
3214,Mirpur,3 items,DELIVERED,CASH,230Tk
3215,Gulshan/Banani,2 items,DELIVERED,CASH,91Tk
3216,Dhanmondi,1 items,DELIVERED,CASH,245Tk
3217,Gulshan/Banani,1 items,DELIVERED,CASH,220Tk
3218,Gulshan/Banani,3 items,DELIVERED,CASH,110Tk
3219,Mohammadpur,1 items,DELIVERED,CASH,100Tk
3220,Mirpur,1 items,DELIVERED,CASH,300Tk
3221,Gulshan/Banani,3 items,DELIVERED,CASH,470Tk
3222,Baily Road / Khilgaon,1 items,DELIVERED,CASH,140Tk
3223,Dhanmondi,1 items,DELIVERED,CASH,48Tk
3224,Gulshan/Banani,2 items,DELIVERED,CASH,518Tk
3225,Mirpur,2 items,DELIVERED,CASH,220Tk
3226,Mirpur,1 items,DELIVERED,CASH,180Tk
3227,Mirpur,2 items,DELIVERED,CASH,214Tk
3228,Gulshan/Banani,3 items,DELIVERED,CASH,255Tk
3229,Dhanmondi,1 items,DELIVERED,CASH,69Tk
3230,Gulshan/Banani,3 items,DELIVERED,CASH,214Tk
3231,Gulshan/Banani,1 items,DELIVERED,CASH,39Tk
3232,Dhanmondi,1 items,DELIVERED,CASH,39Tk
3233,Gulshan/Banani,1 items,DELIVERED,CASH,126Tk
3234,Gulshan/Banani,2 items,DELIVERED,CASH,270Tk
3235,Mohammadpur,1 items,DELIVERED,CASH,140Tk
3236,Mirpur,1 items,DELIVERED,CASH,224Tk
3237,Gulshan/Banani,1 items,DELIVERED,CASH,250Tk
3238,Mohammadpur,1 items,DELIVERED,CASH,160Tk
3239,Gulshan/Banani,3 items,DELIVERED,CASH,441Tk
3240,Baily Road / Khilgaon,1 items,DELIVERED,CASH,780Tk
3241,Mohammadpur,4 items,DELIVERED,CASH,95Tk
3242,Baily Road / Khilgaon,1 items,DELIVERED,CASH,32Tk
3243,Dhanmondi,3 items,DELIVERED,CASH,559Tk
3244,Uttara,1 items,DELIVERED,CASH,437Tk
3245,Baily Road / Khilgaon,2 items,DELIVERED,CASH,604Tk
3246,Dhanmondi,1 items,DELIVERED,CARD,138Tk
3247,Gulshan/Banani,1 items,DELIVERED,CASH,97Tk
3248,Uttara,1 items,DELIVERED,CASH,345Tk
3249,Dhanmondi,2 items,DELIVERED,CASH,173Tk
3250,Mirpur,1 items,DELIVERED,CASH,160Tk
3251,Uttara,2 items,DELIVERED,CASH,276Tk
3252,Dhanmondi,2 items,DELIVERED,CASH,492Tk
3253,Mirpur,4 items,DELIVERED,CASH,487Tk
3254,Uttara,1 items,DELIVERED,CASH,193Tk
3255,Chattogram,4 items,DELIVERED,CASH,190Tk
3256,Gulshan/Banani,1 items,DELIVERED,CASH,120Tk
3257,Mirpur,2 items,DELIVERED,CASH,280Tk
3258,Dhanmondi,1 items,DELIVERED,CASH,1840Tk
3259,Dhanmondi,1 items,DELIVERED,CASH,65Tk
3260,Baily Road / Khilgaon,1 items,DELIVERED,CASH,780Tk
3261,Dhanmondi,1 items,DELIVERED,CASH,896Tk
3262,Gulshan/Banani,1 items,DELIVERED,CASH,65Tk
3263,Gulshan/Banani,1 items,DELIVERED,CASH,52Tk
3264,Dhanmondi,1 items,DELIVERED,CASH,1840Tk
3265,Gulshan/Banani,1 items,DELIVERED,CASH,405Tk
3266,Dhanmondi,1 items,DELIVERED,CASH,65Tk
3267,Uttara,1 items,DELIVERED,CASH,58Tk
3268,Dhanmondi,1 items,DELIVERED,CASH,128Tk
3269,Chattogram,1 items,DELIVERED,CASH,500Tk
3270,Dhanmondi,1 items,DELIVERED,CASH,150Tk
3271,Mohammadpur,2 items,DELIVERED,CASH,270Tk
